1989	2.70	2.69	1.83	1.12	2.70	3.28	3.71	3.72	4.40	3.12	3.82	3.20	2.36	2.98	2.61	2.16
1990	5.01	5.00	3.79	3.35	4.42	4.87	5.23	5.24	5.25	4.67	4.98	5.02	4.36	5.05	4.55	3.94
1991	4.53	4.52	3.53	2.73	3.78	4.54	4.66	4.66	4.84	3.92	4.75	4.20	3.74	4.44	3.96	3.36
1992	4.94	4.93	5.78	4.67	5.50	4.79	6.19	6.19	6.64	6.01	5.50	6.31	4.60	5.47	5.11	4.67
1993	0.01	0.01	0.42	-0.11	0.21	0.59	0.85	0.86	1.39	0.79	1.26	1.30	-0.60	-0.01	-0.38	-0.84
1994	6.52	6.51	7.59	6.77	7.41	6.51	7.68	7.68	8.68	8.31	7.15	8.66	6.24	7.00	6.68	6.29
1995	2.30	2.29	2.78	1.38	3.00	2.87	4.31	4.31	5.05	3.98	3.95	4.54	1.71	3.15	2.65	2.02
1996	5.08	5.07	4.13	3.71	4.38	4.73	4.97	4.97	4.87	4.48	4.70	4.75	4.54	4.95	4.53	4.00
1997	3.46	3.45	4.13	3.34	4.14	3.28	4.54	4.53	5.35	4.63	4.05	5.17	3.40	3.78	3.64	3.47
1998	1.32	1.31	1.19	0.75	1.75	1.38	2.28	2.28	2.70	1.90	2.09	1.93	1.01	1.77	1.43	1.00
1999	3.76	3.76	2.28	1.62	3.33	4.52	5.00	5.00	4.86	3.72	5.20	3.74	2.91	3.93	3.41	2.76
2000	6.44	6.43	5.54	4.79	6.02	6.40	7.09	7.10	7.21	6.28	6.97	6.45	6.04	6.42	5.99	5.45
2001	4.08	4.07	2.47	1.94	3.72	4.57	5.58	5.58	5.20	3.91	5.44	4.08	3.25	4.60	4.05	3.36
2002	4.10	4.09	6.34	5.44	6.48	3.98	5.53	5.52	7.24	7.17	4.58	7.47	4.74	4.84	4.94	5.06
2003	6.12	6.11	5.32	4.42	6.11	6.26	7.11	7.11	7.60	6.64	6.74	7.00	5.80	6.52	6.02	5.41
2004	4.48	4.47	3.65	3.11	4.04	4.72	5.12	5.13	4.90	4.34	5.30	4.65	3.92	4.63	4.19	3.63
2005	4.38	4.36	3.22	2.38	4.38	4.71	5.58	5.59	5.52	4.64	5.69	4.72	3.55	4.69	4.19	3.56
2006	7.35	7.34	6.41	5.49	7.07	7.33	8.10	8.10	8.15	7.36	7.99	7.45	6.84	7.70	7.21	6.59
2007	3.77	3.77	2.64	1.73	3.75	4.41	5.31	5.31	5.31	4.10	5.13	4.35	2.83	4.21	3.67	2.99
2008	5.59	5.58	4.09	3.80	4.98	5.87	6.01	6.02	5.86	5.21	6.33	5.22	4.85	5.48	4.98	4.36
2009	7.42	7.41	6.66	5.93	7.47	7.19	8.62	8.62	8.79	7.77	8.08	7.82	7.14	8.00	7.57	7.04
2010	4.88	4.87	4.78	4.35	5.11	4.69	4.82	4.82	5.36	5.37	4.32	5.60	4.62	4.76	4.52	4.21
2011	4.12	4.11	4.26	3.09	4.46	4.65	5.26	5.26	6.42	5.30	5.66	5.95	4.20	4.21	4.01	3.76
2012	5.31	5.30	5.18	4.29	4.98	5.42	5.82	5.82	6.05	5.39	5.87	5.74	5.02	5.32	4.96	4.49
2013	5.24	5.23	3.91	3.49	4.25	5.47	5.56	5.57	5.25	4.61	5.83	4.79	4.41	4.98	4.47	3.81
2014	6.62	6.61	6.18	5.39	6.34	6.77	7.21	7.21	7.58	6.69	7.15	7.00	6.25	6.66	6.24	5.69
2015	7.39	7.38	7.03	6.47	7.35	7.32	8.45	8.44	8.79	7.65	8.05	7.57	7.38	7.94	7.61	7.18
2016	3.62	3.61	3.90	3.14	3.84	3.75	4.18	4.18	4.83	4.62	3.99	4.96	3.41	3.88	3.58	3.20
2017	5.67	5.66	4.25	3.76	4.94	5.80	6.15	6.15	6.00	5.08	6.15	5.16	4.99	5.75	5.24	4.58
2018	5.10	5.09	4.89	4.28	5.39	5.27	5.81	5.82	6.21	5.86	5.99	6.42	4.89	5.27	4.96	4.56
2019	6.12	6.11	4.64	4.39	4.91	5.90	5.65	5.66	5.49	4.92	5.82	5.15	5.63	5.67	5.22	4.63
